Date,rahadi_oesman,sta2,sta3,sta4,sta5,sta6,sta7
20-May-04,0,0,8,0,0,11,0
21-May-04,0,0,0,0,0,0,0
22-May-04,32.3,0,1,0,0,0,0
23-May-04,30.4,0,0,0,0,0,0
24-May-04,0,0,0,0,0,0,0
25-May-04,0,0,0,0,0,0,0
26-May-04,36.8,0,0,0,0,0,0
27-May-04,166.4,0,0,0,0,0,0
28-May-04,8.5,9,0,0,0,0,0
29-May-04,0.6,0,0,0,0,0,0
30-May-04,46.6,0,0,0,0,0,0
31-May-04,21.5,8,7,14,4,9,1
01-Jun-04,26.8,0,1,2,4,0,11
02-Jun-04,8,0,1,0,0,0,0
03-Jun-04,0,0,0,0,0,0,0
04-Jun-04,0,0,9,0,2,0,29
05-Jun-04,0,0,4,0,0,0,21
06-Jun-04,0,0,0,0,0,0,0
07-Jun-04,0,0,2,0,18,0,0
08-Jun-04,17,0,2,13,0,0,6
09-Jun-04,28.2,0,0,0,0,0,0
10-Jun-04,0,0,0,0,0,0,0
11-Jun-04,0,0,0,0,0,0,0
12-Jun-04,0,0,0,0,0,0,0
13-Jun-04,0,0,0,0,0,0,0
14-Jun-04,0,0,0,0,0,0,0
15-Jun-04,0,0,0,0,0,0,0
16-Jun-04,0,0,0,0,0,0,0
17-Jun-04,0,2,0,19,20,0,2
18-Jun-04,0,16,32,8,1,10,52
19-Jun-04,0,21,2,11,17,4,2
20-Jun-04,0,55,12,15,4,20,33
21-Jun-04,0,0,2,0,0,0,2
22-Jun-04,0,1,0,3,0,5,0
23-Jun-04,0,0,0,0,0,0,1
24-Jun-04,0,0,0,0,0,0,0
25-Jun-04,0,0,0,0,0,0,0
26-Jun-04,0,0,0,0,0,0,0
27-Jun-04,0.2,6,0,0,6,0,0
28-Jun-04,0,0,3,37,0,8,3
29-Jun-04,0,10,7,0,22,0,0
30-Jun-04,0,0,0,0,35,1,0
01-Jul-04,6,0,14,23,0,30,12
02-Jul-04,0,0,0,0,0,0,0
03-Jul-04,0,0,0,0,0,0,0
04-Jul-04,1,0,0,0,0,0,0
05-Jul-04,4.6,4,0,0,0,0,0
06-Jul-04,4.4,0,0,0,0,0,3
07-Jul-04,17.5,0,0,0,0,0,1
08-Jul-04,7.1,0,0,0,0,0,0
09-Jul-04,0,0,0,0,0,0,0
10-Jul-04,0,0,0,0,0,0,0
11-Jul-04,7.8,0,0,0,0,0,0
12-Jul-04,-,0,0,0,0,0,0
13-Jul-04,0,0,0,0,0,0,0
14-Jul-04,10.4,0,0,0,0,0,0
15-Jul-04,0,0,0,0,0,0,0
16-Jul-04,0,0,0,0,0,0,0
17-Jul-04,10.9,0,0,0,0,0,0
18-Jul-04,0,0,0,0,0,0,0
19-Jul-04,0,0,0,0,0,0,0
20-Jul-04,5.8,0,0,0,0,0,0
21-Jul-04,82.1,0,0,0,0,0,0
22-Jul-04,-,0,0,0,0,0,0
23-Jul-04,0,0,0,0,0,0,0
24-Jul-04,0.4,0,0,0,0,0,0
25-Jul-04,-,0,0,0,0,0,0
26-Jul-04,0,0,0,0,0,0,0
27-Jul-04,0,0,0,0,0,0,0
28-Jul-04,0,0,0,0,0,0,0
29-Jul-04,4.2,0,0,0,0,0,0
30-Jul-04,3.4,0,0,0,0,0,0
31-Jul-04,0,0,0,0,0,0,0
01-Aug-04,0,0,0,0,0,0,0
02-Aug-04,0,0,0,0,0,0,0
03-Aug-04,0,0,0,0,0,0,0
04-Aug-04,0,0,0,0,0,0,4
05-Aug-04,0,0,0,0,0,0,0
06-Aug-04,0,0,0,0,0,0,0
07-Aug-04,0,0,0,0,0,0,0
08-Aug-04,0,0,0,0,0,0,0
09-Aug-04,0,0,0,0,0,0,0
10-Aug-04,0,0,0,0,0,0,0
11-Aug-04,0,0,0,0,0,0,0
12-Aug-04,0,0,0,0,0,0,0
13-Aug-04,0,0,0,0,0,0,0
14-Aug-04,0,0,0,0,0,0,0
15-Aug-04,0,0,0,0,0,0,0
16-Aug-04,0,0,0,0,0,0,0
17-Aug-04,0,0,0,0,0,0,0
18-Aug-04,0,0,0,0,0,0,0
19-Aug-04,0,0,0,0,0,0,0
20-Aug-04,0,0,0,0,0,0,0
21-Aug-04,0,0,0,0,0,0,0
22-Aug-04,0,0,0,0,0,0,2
23-Aug-04,0,0,0,0,0,0,0
24-Aug-04,0,0,0,0,0,0,1
25-Aug-04,0,0,0,0,0,0,0
26-Aug-04,0,0,0,0,0,0,0
27-Aug-04,0,0,0,0,0,0,0
28-Aug-04,0,0,0,0,0,0,0
29-Aug-04,0,0,0,0,0,0,0
30-Aug-04,0,0,0,0,0,0,0
31-Aug-04,0,0,0,0,0,0,0
01-Sep-04,0,0,0,0,0,0,0
02-Sep-04,0,0,0,0,0,0,0
03-Sep-04,0,0,0,0,0,0,0
04-Sep-04,0,0,0,0,0,0,0
05-Sep-04,11.5,0,0,0,0,0,0
06-Sep-04,0,0,0,0,0,0,0
07-Sep-04,0,0,0,0,0,0,0
08-Sep-04,0,0,0,0,0,0,0
09-Sep-04,29.3,0,0,0,0,0,0
10-Sep-04,0,0,0,0,0,0,0
11-Sep-04,0,0,0,0,0,0,0
12-Sep-04,0,0,0,0,0,0,0
13-Sep-04,1.2,0,0,0,0,0,0
14-Sep-04,0,0,0,0,0,0,5
15-Sep-04,51.1,0,0,0,0,0,2
16-Sep-04,10.6,0,0,0,0,0,4
17-Sep-04,2.7,0,0,0,0,0,15
18-Sep-04,0,0,0,0,0,0,0
19-Sep-04,0,0,0,0,0,0,0
20-Sep-04,10.1,0,0,0,0,0,0
21-Sep-04,0,0,0,0,0,0,0
22-Sep-04,0,0,0,0,0,0,1
23-Sep-04,0,0,0,0,0,0,0
24-Sep-04,0,0,0,0,0,0,11
25-Sep-04,0,0,0,0,0,0,0
26-Sep-04,0,0,0,0,0,0,0
27-Sep-04,0,0,0,0,0,0,0
28-Sep-04,0.6,0,0,0,0,0,16
29-Sep-04,4.1,0,0,0,0,0,16
30-Sep-04,28,0,0,0,0,0,0
01-Oct-04,37.4,0,0,0,0,0,0
02-Oct-04,0,0,0,0,0,0,0
03-Oct-04,0,0,0,0,0,0,0
04-Oct-04,0,0,0,0,0,0,0
05-Oct-04,0,0,0,0,0,0,0
06-Oct-04,0,0,0,0,0,0,7
07-Oct-04,0,0,0,0,0,0,11
08-Oct-04,0,0,0,0,12,0,4
09-Oct-04,0,0,0,10,11,0,31
10-Oct-04,0,0,0,0,0,0,0
11-Oct-04,0.1,0,21,0,0,0,2
12-Oct-04,23.9,0,0,0,0,0,0
13-Oct-04,0,0,0,2,0,0,9
14-Oct-04,0,0,0,0,0,0,0
15-Oct-04,0,0,0,2,0,0,0
16-Oct-04,0,0,0,0,0,0,0
17-Oct-04,0,0,0,0,0,0,0
18-Oct-04,0,0,10,0,6,0,0
19-Oct-04,28.5,0,0,0,0,0,27
20-Oct-04,2.5,0,0,0,0,0,3
21-Oct-04,54.2,0,0,0,0,0,0
22-Oct-04,23.2,0,0,0,10,0,0
23-Oct-04,0,0,37,15,54,14,47
24-Oct-04,15,0,2,4,0,23,1
25-Oct-04,4,0,0,0,0,0,0
26-Oct-04,18.3,0,0,0,2,0,1
27-Oct-04,8.8,0,0,0,10,0,1
28-Oct-04,1.4,0,0,0,48,0,7
29-Oct-04,29.3,0,61,30,30,67,52
30-Oct-04,9.4,0,33,21,33,9,35
31-Oct-04,0.4,15,15,7,11,8,7
01-Nov-04,1.5,90,23,18,1,13,3
02-Nov-04,12.5,24,73,0,4,2,15
03-Nov-04,16.8,0,7,16,4,4,22
04-Nov-04,0,27,10,7,6,4,0
05-Nov-04,0,39,10,3,24,11,9
06-Nov-04,21,0,40,71,0,47,59
07-Nov-04,26.6,25,1,0,0,0,23
08-Nov-04,34.7,25,5,11,25,1,3
09-Nov-04,-,50,35,5,12,13,94
10-Nov-04,6.6,0,20,41,1,9,22
11-Nov-04,0,6,1,2,0,7,36
12-Nov-04,4.9,3,0,2,1,3,3
13-Nov-04,37.4,24,12,3,3,0,36
14-Nov-04,3.3,5,27,3,21,12,9
15-Nov-04,106.4,2,1,1,2,15,1
16-Nov-04,1.5,0,8,4,25,7,31
17-Nov-04,4.4,0,0,0,0,0,5
18-Nov-04,59.2,0,0,0,2,0,0
19-Nov-04,0,0,0,0,11,2,0
20-Nov-04,74.8,13,0,0,0,28,1
21-Nov-04,76.5,11,0,0,10,0,6
22-Nov-04,8.7,0,0,0,0,12,0
23-Nov-04,15.2,0,0,0,3,0,0
24-Nov-04,0.4,0,0,0,0,0,0
25-Nov-04,9.8,17,0,0,50,35,0
26-Nov-04,0.2,0,22,4,13,5,16
27-Nov-04,0,2,0,0,30,0,0
28-Nov-04,7.4,9,13,0,13,0,0
29-Nov-04,26.9,34,0,18,0,0,5
30-Nov-04,15.3,0,0,4,0,1,14
01-Dec-04,27.5,0,0,0,25,0,2
02-Dec-04,6.7,0,38,34,141,54,33
03-Dec-04,1.2,0,14,38,3,54,10
04-Dec-04,23.4,0,6,74,4,1,11
05-Dec-04,3.3,0,7,48,10,6,16
06-Dec-04,32.1,0,14,12,11,41,7
07-Dec-04,65.6,0,11,3,0,0,37
08-Dec-04,1.4,0,0,0,20,0,0
09-Dec-04,6.6,0,10,2,19,3,13
10-Dec-04,0,0,8,10,12,25,12
11-Dec-04,0,0,20,8,3,6,13
12-Dec-04,5.6,0,3,5,18,0,16
13-Dec-04,12.3,0,70,37,0,52,34
14-Dec-04,14.9,0,25,3,0,0,1
15-Dec-04,38.8,0,3,0,3,2,9
16-Dec-04,-,0,7,32,14,2,4
