"","Date","rahadi_oesman","sta2","sta3","sta4","sta5","sta6","sta7"
"122",2004-05-01,2.8,11,15,"0",3,0,0
"123",2004-05-02,6.8,0,7,"8",0,2,1
"124",2004-05-03,0,0,0,"0",0,0,2
"125",2004-05-04,0,1,0,"0",0,0,0
"126",2004-05-05,23.5,0,0,"0",0,0,5
"127",2004-05-06,14.6,0,1,"0",0,0,0
"128",2004-05-07,35.7,0,0,"0",0,0,0
"129",2004-05-08,0,0,0,"0",0,0,0
"130",2004-05-09,0,6,0,"0",24,0,0
"131",2004-05-10,0,0,1,"1",0,4,10
"132",2004-05-11,30.6,13,1,"0",0,0,0
"133",2004-05-12,0,7,0,"0",5,0,5
"134",2004-05-13,0,0,1,"2",58,2,5
"135",2004-05-14,0,0,30,"11",0,13,0
"136",2004-05-15,0,0,0,"1",9,0,0
"137",2004-05-16,0,15,32,"10",45,35,17
"138",2004-05-17,0,2,23,"13",7,30,5
"139",2004-05-18,0,25,9,"8",0,13,3
"140",2004-05-19,0,0,6,"0",21,0,0
"141",2004-05-20,0,0,8,"0",0,11,0
"142",2004-05-21,0,0,0,"0",0,0,0
"143",2004-05-22,32.3,0,1,"0",0,0,0
"144",2004-05-23,30.4,0,0,"0",0,0,0
"145",2004-05-24,0,0,0,"0",0,0,0
"146",2004-05-25,0,0,0,"0",0,0,0
"147",2004-05-26,36.8,0,0,"0",0,0,0
"148",2004-05-27,166.4,0,0,"0",0,0,0
"149",2004-05-28,8.5,9,0,"0",0,0,0
"150",2004-05-29,0.6,0,0,"0",0,0,0
"151",2004-05-30,46.6,0,0,"0",0,0,0
"152",2004-05-31,21.5,8,7,"14",4,9,1
"153",2004-06-01,26.8,0,1,"2",4,0,11
"154",2004-06-02,8,0,1,"0",0,0,0
"155",2004-06-03,0,0,0,"0",0,0,0
"156",2004-06-04,0,0,9,"0",2,0,29
"157",2004-06-05,0,0,4,"0",0,0,21
"158",2004-06-06,0,0,0,"0",0,0,0
"159",2004-06-07,0,0,2,"0",18,0,0
"160",2004-06-08,17,0,2,"13",0,0,6
"161",2004-06-09,28.2,0,0,"0",0,0,0
"162",2004-06-10,0,0,0,"0",0,0,0
"163",2004-06-11,0,0,0,"0",0,0,0
"164",2004-06-12,0,0,0,"0",0,0,0
"165",2004-06-13,0,0,0,"0",0,0,0
"166",2004-06-14,0,0,0,"0",0,0,0
"167",2004-06-15,0,0,0,"0",0,0,0
"168",2004-06-16,0,0,0,"0",0,0,0
"169",2004-06-17,0,2,0,"19",20,0,2
"170",2004-06-18,0,16,32,"8",1,10,52
"171",2004-06-19,0,21,2,"11",17,4,2
"172",2004-06-20,0,55,12,"15",4,20,33
"173",2004-06-21,0,0,2,"0",0,0,2
