"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",166.4,135.6,115.9,192.3,204.5,226.6,98.6,166,150.5,111.7,102,259.6
"2",106.2,154.1,155.4,159.5,113.5,171.7,194.5,152.6,166.4,135.6,115.9,192.3
